Tissue	Cell type	Marker genes
Immune system	Erythroblasts	"BCL11A,BPGM,CD44,CDH1,CFP,CGA,ENG,EPOR,ETS1,GATA1,GRSF1,GYPA,IGBP1,ITGB1,KIT,KLF1,LMNB1,LMO2,LRP8,TAL1,TFR2,TFRC,USE1,WRN"
Immune system	Erythrocytes	"CD36,FOLR1,ITGA4,RUVBL1,TFRC"
Immune system	Erythroid-like and erythroid precursor cells	"AHSG,AHSP,ALAD,ALAS2,APOA1,AQP1,ARG1,ASNS,BPGM,CCNA2,CD36,CD44,CD47,CD55,CEACAM1,COX6B2,DCAF12,EDRF1,EPB41,EPB41L2,EPB42,EPOR,ERMAP,FECH,FOSB,GYPA,GYPB,GYPC,HBA1,HBA2,HBB,HBD,HBG1,HBG2,HBM,HEMGN,HEXA,HMBS,HTATSF1,ITGA4,KCNN4,KEL,KIT,KLF1,LOX,NCOA4,PAN3,PFAS,PNPO,RBM38,RHAG,RHD,RSAD2,S100A8,S100A9,SLC25A37,SLC25A39,SLC4A1,SNCA,THBS1,THRB,TMCC2,TSPAN33,TSPO2,UBB,UCP2,UROD,UROS,VAMP5"
Immune system	Fetal cell	"CLDN6,KCNQ4,MCAM"
Immune system	Gamma delta T cells	"ADGRG1,ASPM,AURKB,BIRC5,CCL5,CCNB1,CD247,CD7,CENPA,CENPF,CLIC3,CST7,CTSW,FGFBP2,GNLY,GZMA,GZMB,H2AFX,H2AFZ,HMGB2,HOPX,IFITM1,KLRD1,KLRF1,MKI67,NKG7,NUSAP1,PCNA,PRF1,PTGDS,S100B,SPON2,STMN1,TOP2A,TRDC,TROAP,TUBA1B,TUBB,TYMS,UBE2C"
Immune system	Granulocytes	"CCR3,CD14,CD33,CD44,CD63,CD69,CEACAM8,CSF3R,ENPP3,FCGR3A,FCGR3B,FUT4,IL2RA,IL3RA,ITGA4,ITGAM,ITGAX,KIT,MPO"
Immune system	Jurkat cells	"CD4,CXCR4,IL2,PTPRC"
Immune system	Lymphocytes	"CD4,PTPRC,CD8A,ITGAM"
Immune system	Macrophages	"ADAM8,ADGRE1,ADGRE5,AHR,AIF1,ARG1,ARL11,C3AR1,C5AR1,CCL2,CCL22,CCL24,CCL3,CCL5,CCL7,CCR2,CCR5,CCR7,CD163,CD180,CD19,CD200,CD200R1,CD300A,CD33,CD36,CD3E,CD5L,CD68,CD74,CD83,CD86,CHIT1,CLEC10A,CLEC4D,CLEC7A,CPM,CSF1R,CTSK,CX3CR1,CXCL1,CXCL16,CXCL2,CYBB,CYTH4,DAB2,DNASE1L3,DUSP5,EGLN3,F13A1,FABP4,FCGR1A,FCGR3A,FGD2,FGL2,FGR,FMNL1,FPR1,FUT4,GATA6,GDF15,GPNMB,GPR132,GPR171,GPR34,HFE,HILPDA,HPGD,HPGDS,IFNAR2,IL1B,IRF5,ITGAL,ITGAM,ITGAX,JAML,LGALS3,LILRA5,LILRB4,LPCAT2,LYVE1,MAF,MARCH1,MMP12,MMP9,MRC1,MS4A4A,MS4A6A,MS4A7,MYO1G,NAAA,NCEH1,NR4A3,NRP2,P2RY6,PARP14,PLTP,PPARG,RAB20,RAB7B,RBPJ,RGS1,S100A4,S100A8,SAMSN1,SCIMP,SLAMF7,SLAMF9,SLC11A1,SLC37A2,SLCO2B1,SNX20,STAB1,TFRC,TGFBR1,TLR2,TNF,TREM2,TREML4,TYROBP,UCP2,VSIG4"
Immune system	Mast cells	"A4GALT,ACER3,ACHE,ADAMTS9,ADORA3,ARMCX3,ATL2,BMPR2,BTK,C2,CCDC141,CCL2,CCL7,CCR3,CCR5,CD274,CD55,CDC42BPA,CDH9,CFD,CFP,CHST1,CMA1,COBL,COPZ2,CPA1,CPA3,CREB3L1,CRH,CSF2RB,CSRNP1,CTSG,CXCR2,CXCR4,CYP11A1,DAPP1,DCLK3,DDC,DGKI,DNM3,DUSP1,EDNRA,ENAH,ENO2,ENPP3,EXT1,FAM129B,FAM84A,FCER1A,FCER2,GASK1B,GNAI1,GNAZ,GPM6A,GPR34,GRIK2,HDC,HNMT,HPGDS,HS2ST1,HS3ST1,HS3ST3A1,HS6ST2,HSD11B1,HSPA13,IDS,IL1RL1,IL2RA,IL4,KCNE3,KDELR3,KIT,KRT4,LIMA1,LSAMP,LTC4S,MAOB,MCEMP1,MEIS2,MFGE8,MGST2,MILR1,MITF,MLPH,MS4A2,NCEH1,NDST2,NEO1,OAF,OPTN,OSBPL8,PAPSS2,PCBD1,PCDH7,PCP4L1,PDE1C,PLAU,PLEK,PTGDS,RAB27B,RAPGEF2,RBFOX1,RGS1,RGS13,RIOK2,RNF128,RNF180,ROR1,SGCE,SLA,SLC18A2,SLC29A1,SLC31A2,SLC45A3,SLC4A4,SLC6A4,SLC7A5,SMARCA1,SMPX,SOCS1,SOCS2,SPRED1,ST6GALNAC3,STARD13,STK32B,TCF7L1,TIAM2,TPH1,TPSAB1,TPSB2,TPSG1,TRANK1,VWA5A,WDR60,ZDHHC13"
Immune system	Megakaryocytes	"ACHE,ALOX12,CD9,CIB1,CXCR2,CXCR4,EPOR,F13A1,FLI1,GATA1,GATA2,GP5,GP9,IL21R,IL2RA,IL6,ITGA2B,ITGB3,KIF5B,LAT,LRP1,MAFG,MATK,MPL,MRTFB,NFATC1,PDE6B,PECAM1,PF4,PLEK,PLK3,PPARG,PROX1,RGS18,S100A8,S100A9,SELP,SLAMF1,SPON2,SYP,TGFB1,TSPAN9,VEGFA,VWF"
Immune system	Mesenchymal stem cell	"ANPEP,CASP3,CD14,CD34,CD44,ENG,ITGB1,MCAM,NGFR,NT5E,PTPRC,THY1"
Immune system	Mesenchymal stromal cell	"CD34,CD44,ENG,NGFR,NT5E,PECAM1,PTPRC,SUSD2,THY1"
Immune system	Monocytes	"ACE,ACP5,ADA2,ADGRE1,APOBEC3A,AR,ASAH1,CCR2,CD14,CD163,CD19,CD27,CD33,CD38,CD3D,CD3E,CD3G,CD40,CD44,CD48,CD68,CD7,CD86,CEACAM8,CLEC12A,CLEC7A,CMKLR1,CSF1R,CSF3R,CX3CR1,CXCL10,CXCR4,DYSF,FCGR1A,FCGR2B,FCGR3A,FCGR3B,FCN1,FN1,FUT4,GBP1,HCK,HLA-DRA,ICAM1,IDO1,IFIT1,IFIT3,IFITM3,IL1RN,IL3RA,IRF7,ITGAL,ITGAM,ITGAX,LAIR2,LIPA,LTA4H,MGMT,MNDA,MRC1,MS4A1,MS4A6A,MX1,NCAM1,OAS1,PADI4,PECAM1,PLAU,PLSCR1,PRTN3,PSAP,PTPRC,RGS1,RHOC,S100A4,S100A8,S100A9,SELE,SELL,SPN,TET2,TNF,TNFRSF14,TNFSF10,TSPAN14,VCAN,ZFP36L2"
Immune system	Myeloid dendritic cell	"CD1C,ITGAX"
Immune system	Natural killer cells	"AHR,CCL3,CCL4,CCL5,CD2,CD244,CD27,CD33,CD3D,CD3E,CD3G,CD69,CD7,CHSY1,CMA1,CSF2,CST7,CTSW,CXCR4,DOCK2,DOK2,DPP4,DUSP2,FCGR3A,FCGR3B,FGFBP2,FHL2,GNLY,GZMA,GZMB,GZMH,GZMK,GZMM,HMBOX1,HSD11B1,IFNG,IL18R1,IL2RB,IL2RG,IL32,ITGA2,ITGAM,ITGAX,KIT,KLRB1,KLRC1,KLRC2,KLRD1,KLRF1,KLRG1,KLRK1,LAT,LILRB1,NCAM1,NCR1,NKG7,PCDH15,PRF1,S100A4,SAMD3,SEMA6D,SERPINB9,SH2D2A,SLAMF6,SLAMF7,STYK1,TGFB1,TRDC,TXK,XCL1,XCL2"
Immune system	Natural killer T cells	"CD244,CD3D,CD3E,CD3G,CD44,CD8A,CXCR4,EGR1,FCGR3A,GATA3,GZMB,IL17RA,IL2RB,ITGB2,KLRB1,KLRC1,KLRC2,KLRD1,MAP3K8,NCAM1,NR4A1,PRF1,RORA,S1PR1,SLAMF7,STYK1,TCF7,ZBTB16"
Immune system	Neutrophils	"ADAM8,ADPGK,ARG2,ASPRV1,AZU1,BST1,C5AR1,CAMP,CCL3,CCR1,CCRL2,CD14,CD177,CD24,CD33,CEACAM1,CEACAM8,CFP,CLEC4D,CLEC4E,CRP,CSF3R,CTSG,CXCL2,CXCR2,DEFA3,DOCK8,ELANE,FCGR1A,FCGR3A,FCGR3B,FUT4,HDC,HP,IL1B,IL1R2,ITGAM,ITGAX,JAML,LCN2,LRG1,LTF,LYST,LYZ,MME,MMP8,MMP9,MPO,MYLK,NCF1,NLRP3,OAS3,OSM,PECAM1,PILRA,PRTN3,PSTPIP1,PTGS2,S100A4,S100A8,S100A9,SELL,SERPINB1,SLC1A5,SNX20,SORL1,TLR2,TREM1"
Immune system	Nuocytes	"ARG1,BCL11B,CRLF2,GATA3,ICOS,IL13,IL17RB,IL1RL1,IL5,IL7R,PTGDS,RORA"
Immune system	Plasma B cells	"ABCB9,ANGPT4,C11orf80,CCR10,CD24,CD27,CD37,CD38,CD40,CD74,CD79A,CD9,CD93,CXCR4,CYCS,DENND5B,DIABLO,EAF2,ENPP1,FCGR2B,GNG7,GZMB,HIST1H2AE,HIST1H2BG,HLA-DOB,HTRA2,IGHA1,IGHA2,IGHD,IGHG1,IGHG2,IGHG3,IGHG4,IGHGP,IGHM,IGKC,IGLC2,IGLC3,IL16,IRF4,JCHAIN,KCNG2,KLF4,LAIR1,MAN1A1,MANEA,MROH7,MS4A4A,MZB1,PAX7,PDK1,PIAS1,PNOC,PRDM1,RASGRP3,RGS13,RPL3P7,SDC1,SIK1,SPAG4,SSR4,ST6GALNAC4,TGM5,TMEM156,TNFRSF13B,TNFRSF17,ZBP1,ZNF165"
Immune system	Plasmacytoid dendritic cells	"ANPEP,BCL11A,BLNK,CCR7,CD33,CD4,CD40,CD83,CD86,CD8A,CLEC4C,CLEC9A,CUX2,CXCR3,DERL3,ERN1,FAM129C,GPR183,GZMB,HLA-DRB1,IL3RA,IRF7,IRF8,ITGAM,ITM2C,JCHAIN,LAMP5,LILRA4,LILRB4,MZB1,NRP1,PACSIN1,PTCRA,SERPINF1,SLC15A4,SPIB,TCF4,TLR7,TNFRSF21,ZFAT"
Immune system	Platelets	"ABCA3,ABCC4,ACKR3,ADAM10,ADGRE5,AGPAT1,ALDH2,ALOX12,ALOX5AP,ANGPT1,ARHGAP10,ARHGDIB,ATP2A3,ATP8A1,BGLAP,BIN2,C2orf88,CA2,CAVIN2,CCL5,CCR1,CCR3,CD109,CD226,CD36,CD40,CD40LG,CD46,CD69,CD84,CD9,CDKN2D,CLEC1B,CRLF2,CTSA,CXCL14,CXCR4,CYP2U1,DAB2,ERO1A,ESAM,F11R,F13A1,F2R,F5,F7,FCGR2A,FERMT3,FHL1,GNG11,GP1BB,GP5,GP9,GPX1,GRAP2,HFE,HIST1H2BC,HLA-A,IL1A,IL33,ILK,ITGA2,ITGA2B,ITGB2,ITGB3,LAPTM5,LGALS8,LRRC32,LTBR,MAP3K7CL,MAPK14,MFSD2B,MMRN1,MPL,MYL9,NCOA4,NRGN,OST4,P2RY12,PALLD,PDLIM1,PDZK1IP1,PECAM1,PF4,PLEK,PPBP,PPDPF,PREX1,PRKAR2B,PRKCD,PTCRA,PTGS1,PTGS2,RAP1B,RASGRP2,RGS18,RTL8B,S100A9,SCARB1,SELP,SELPLG,SERPINE1,SH3BGRL2,SIRT3,SLC17A9,SLC26A4,SLC2A3,SMOX,SPARC,SPN,SRGN,STX11,THBS1,TNFSF14,TREML2,VEGFA,VWF,WIPF1"
Immune system	Red pulp macrophages	"ADGRE1,CCR3,CD86,HMOX1,MERTK,NR1H3,SLC11A1,SLC40A1,SPIC,TREML4,VCAM1"
Immune system	Stromal cell	"ANPEP,CD14,CD19,CD34,CD44,ENG,ITGB1,NGFR,NT5E,PECAM1,PTPRC,SUSD2,THY1"
Immune system	CD8+ T cells	"ABLIM1,ACTN1,BATF3,BCL2,BRAF,C1orf162,C6orf48,CCL20,CCL3,CCL4,CCL4L2,CCL5,CCR10,CCR2,CCR4,CCR6,CCR7,CD101,CD160,CD163L1,CD2,CD247,CD27,CD28,CD3D,CD3E,CD3G,CD52,CD55,CD6,CD69,CD7,CD81,CD8A,CD8B,CERK,CLEC2D,CREM,CTLA4,CTSW,CXCL13,CXCR4,CXCR6,CYTL1,DKK3,DUSP2,EEF1B2P3,EIF3L,ENTPD1,FAM110A,FAM117B,FCGR3A,FCGR3B,FCRL3,FMNL1,FOXP3,GDPD3,GEM,GIMAP2,GIMAP5,GIMAP7,GPR183,GZMA,GZMB,GZMH,GZMK,GZMM,HOPX,ICOS,IFIT3,IFNG,IKZF2,IL18R1,IL2RA,IL2RB,IL32,IL4,IL7R,ITGAM,ITK,JUNB,KLRB1,LAG3,LAT,LCK,LDLRAP1,LEF1,LRRC32,LRRN3,LTB,MAFF,MAL,MBD2,MYB,MYC,MYO1G,NABP1,NELL2,NKG7,NOSIP,NOTCH3,PDCD1,PECAM1,PFN1P1,PTPN22,PTPRC,PTPRCAP,PXDC1,PYHIN1,RHOH,RORA,S100A4,S1PR4,SATB1,SELL,SEMA6D,SEPT1,SERINC5,SH2D1A,SKAP1,SLC2A1,SYT3,TBC1D10C,TCF7,TGIF1,THY1,TMEM204,TNFAIP3,TNFRSF4,TRABD2A,TRAC,TRAF1,TRBC2,TRDC,TXK"
Immune system	T follicular helper cells	"BCL6,CD200,CD3D,CD4,CD40LG,CD84,CXCR5,ICOS,IL6R,P2RX7,PDCD1,SLAMF1"
Immune system	T regulatory cells	"CCR10,CD3D,CD3E,CD3G,CD4,CD6,CD8A,CNGB1,CTLA4,ENTPD1,FCRL3,FOLR1,FOXP3,IKZF2,IL10,IL1R1,IL2RA,IL7R,ITGAE,ITGB8,IZUMO1R,LAG3,LRRC32,MAF,NT5E,PTPRC,SELL,TNFRSF18,TNFRSF4"
Immune system	Langerhans cells	"CD14,CD1A,CD1B,CD1C,CD207,CD74,CD83,ENTPD1,ICAM3"
Immune system	Memory B cells	"ACKR3,B3GAT1,BACH2,BANK1,BCL11A,BIRC3,BLNK,BST1,BTLA,CCR7,CD14,CD19,CD2,CD22,CD24,CD27,CD40,CD40LG,CD5,CD52,CD55,CD69,CD70,CD72,CD74,CD79A,CD79B,CD80,CD84,CD86,CR2,CRELD2,CXCR4,CXCR5,DERL3,DNTT,DOK3,EAF2,EBF1,EDEM1,EDEM2,FAM129C,FCHSD2,FCMR,FCRLA,FKBP11,FLI1,HLA-DQA1,HLA-DRA,HMGA1,HVCN1,IFIT3,IGHD,IGHG1,IGHG3,IGHG4,IGHM,IGKC,IGLC1,IGLC2,IGLC3,IGLL1,IL21R,IRF4,JCHAIN,KLHL6,LAIR1,LRMP,LTB,LY6D,MME,MS4A1,MZB1,PAX5,PDCD1,POLD4,POU2AF1,PTPRC,PWWP3A,PXK,RALGPS2,RASGRP3,SDC1,SEC61A1,SEMA6D,SLAMF6,SMAP2,SPCS3,SPIB,SPN,SWAP70,TNFRSF13B,TNFRSF13C,TNFRSF17,TNFRSF9,TXNDC11,VPREB1,VPREB3"
Immune system	Classical Monocytes	"ACE,ACP5,ADA2,ADGRE1,APOBEC3A,AR,ASAH1,CCR2,CD14,CD163,CD19,CD1A,CD1B,CD1C,CD27,CD33,CD38,CD3D,CD3E,CD3G,CD40,CD44,CD48,CD68,CD7,CD86,CEACAM8,CLEC12A,CLEC7A,CMKLR1,CSF1R,CSF3R,CXCL10,CXCR4,DYSF,FCGR1A,FCGR2B,FCGR3B,FCN1,FN1,FUT4,GBP1,HCK,HLA-DRA,ICAM1,IDO1,IFIT1,IFIT3,IFITM3,IL1RN,IL3RA,IRF7,ITGAL,ITGAM,ITGAX,LAIR2,LIPA,LTA4H,MGMT,MNDA,MRC1,MS4A1,MS4A6A,MX1,NCAM1,OAS1,PADI4,PECAM1,PLAU,PLSCR1,PRTN3,PSAP,PTPRC,RGS1,RHOC,S100A4,S100A8,S100A9,SELE,SELL,SPN,TET2,TNF,TNFRSF14,TNFRSF1A,TNFRSF1B,TNFSF10,TSPAN14,VCAN,ZFP36L2"
Immune system	Intermediate Monocytes	"ACE,ACP5,ADA2,ADGRE1,APOBEC3A,AR,ASAH1,CCR5,CD14,CD163,CD19,CD27,CD33,CD38,CD3D,CD3E,CD3G,CD40,CD44,CD48,CD68,CD7,CD86,CEACAM8,CLEC12A,CLEC7A,CMKLR1,CSF1R,CSF3R,CX3CR1,CXCL10,CXCR4,DYSF,FCGR1A,FCGR2B,FCGR3A,FCGR3B,FCN1,FN1,FUT4,GBP1,HCK,HLA-DRA,ICAM1,IDO1,IFIT1,IFIT3,IFITM3,IL1RN,IL3RA,IRF7,ITGAL,ITGAM,ITGAX,LAIR2,LIPA,LTA4H,MGMT,MNDA,MRC1,MS4A1,MS4A6A,MX1,NCAM1,OAS1,PADI4,PECAM1,PLAU,PLSCR1,PRTN3,PSAP,PTPRC,RGS1,RHOC,S100A4,S100A8,S100A9,SELE,SELL,SPN,TET2,TNF,TNFRSF14,TNFRSF1A,TNFSF10,TSPAN14,VCAN,ZFP36L2"
Immune system	Non-classical monocytes	"ACE,ACP5,ADA2,ADGRE1,APOBEC3A,AR,ASAH1,CD163,CD19,CD27,CD33,CD38,CD3D,CD3E,CD3G,CD40,CD44,CD48,CD68,CD7,CD86,CEACAM8,CLEC12A,CLEC7A,CMKLR1,CSF1R,CSF3R,CX3CR1,CXCL10,CXCR4,DYSF,FCGR2B,FCGR3A,FCGR3B,FCN1,FN1,FUT4,GBP1,HCK,HLA-DRA,ICAM1,IDO1,IFIT1,IFIT3,IFITM3,IL1RN,IL3RA,IRF7,ITGAL,ITGAM,ITGAX,LAIR2,LIPA,LTA4H,MGMT,MNDA,MRC1,MS4A1,MS4A6A,MX1,NCAM1,OAS1,PADI4,PECAM1,PLAU,PLSCR1,PRTN3,PSAP,PTPRC,RGS1,RHOC,S100A4,S100A8,S100A9,SELE,SELL,SPN,TET2,TNF,TNFRSF14,TNFSF10,TSPAN14,VCAN,ZFP36L2"
Immune system	Na•ve B cells	"B3GAT1,BACH2,BANK1,BCL11A,BIRC3,BLNK,BST1,BTLA,CCR7,CD14,CD19,CD2,CD22,CD24,CD38,CD40,CD40LG,CD5,CD52,CD55,CD69,CD70,CD72,CD74,CD79A,CD79B,CD80,CD86,CR2,CRELD2,CXCR4,DERL3,DNTT,DOK3,EAF2,EBF1,EDEM1,EDEM2,FAM129C,FCER2,FCHSD2,FCMR,FCRLA,FKBP11,FLI1,HLA-DQA1,HLA-DRA,HMGA1,HVCN1,IFIT3,IGHD,IGHG1,IGHG3,IGHG4,IGHM,IGKC,IGLC1,IGLC2,IGLC3,IGLL1,IL21R,IRF4,JCHAIN,KLHL6,LAIR1,LRMP,LTB,LY6D,MS4A1,MZB1,PAX5,PDCD1,POLD4,POU2AF1,PTPRC,PWWP3A,PXK,RALGPS2,RASGRP3,SDC1,SEC61A1,SEMA6D,SLAMF6,SMAP2,SPCS3,SPIB,SPN,SWAP70,TNFRSF13B,TNFRSF13C,TNFRSF17,TNFRSF9,TXNDC11,VPREB1,VPREB3"
Immune system	Memory CD4+ T cells	"ACP5,APBB1IP,ARHGAP15,ARHGAP45,ARHGEF1,BCL2,BIN2,CCR5,CCR6,CD2,CD247,CD27,CD28,CD3D,CD3E,CD3G,CD4,CD69,CD7,CXCR6,CYTIP,DGKA,ENPP1,EPSTI1,GIMAP1,GIMAP4,GRAP2,ICOS,IKZF1,IL7R,ITGAE,ITGB5,ITGB7,KPNA4,LAT,LCK,LEF1,LTB,NKG7,PTPRC,PTPRCAP,RAPGEF6,RHOH,S100A4,S100A8,S100A9,SATB1,SELL,SEPT1,SKAP1,SP100,TBC1D10C,TCF7,TRAC,TRBC2"
Immune system	Memory CD8+ T cells	"ACP5,APBB1IP,ARHGAP15,ARHGAP45,ARHGEF1,BCL2,BIN2,CCR5,CCR6,CD2,CD247,CD27,CD28,CD3D,CD3E,CD3G,CD69,CD7,CD8A,CD8B,CXCR6,CYTIP,DGKA,ENPP1,EPSTI1,GIMAP1,GIMAP4,GRAP2,ICOS,IKZF1,IL7R,ITGAE,ITGB5,ITGB7,KPNA4,LAT,LCK,LEF1,LTB,NKG7,PTPRC,PTPRCAP,RAPGEF6,RHOH,S100A4,S100A8,S100A9,SATB1,SELL,SEPT1,SKAP1,SP100,TBC1D10C,TCF7,TRAC,TRBC2"
Immune system	Na•ve CD4+ T cell	"ABLIM1,ACTN1,C1orf162,C6orf48,CCR7,CD27,CD4,CD55,EIF3L,FAM117B,GPR183,LDLRAP1,LRRN3,MAL,MYC,NELL2,NOSIP,PTPRC,SELL,SERINC5,TCF7,TMEM204,TRABD2A,TXK"
Immune system	Naive CD8+ T cell	"ABLIM1,ACTN1,C1orf162,C6orf48,CCR7,CD27,CD55,CD8A,CD8B,EIF3L,FAM117B,GPR183,LDLRAP1,LRRN3,MAL,MYC,NELL2,NOSIP,PTPRC,SELL,SERINC5,TCF7,TMEM204,TRABD2A,TXK"
Immune system	CD4+ T cells	"ABLIM1,ACTN1,BATF3,BCL2,BRAF,C1orf162,C6orf48,CCL20,CCL3,CCL4,CCL4L2,CCL5,CCR10,CCR2,CCR4,CCR6,CCR7,CD101,CD160,CD163L1,CD2,CD247,CD27,CD28,CD3D,CD3E,CD3G,CD4,CD52,CD55,CD6,CD69,CD7,CD81,CERK,CLEC2D,CREM,CTLA4,CTSW,CXCL13,CXCR4,CXCR6,CYTL1,DKK3,DUSP2,EEF1B2P3,EIF3L,ENTPD1,FAM110A,FAM117B,FCGR3A,FCGR3B,FCRL3,FMNL1,FOXP3,GDPD3,GEM,GIMAP2,GIMAP5,GIMAP7,GPR183,GZMA,GZMB,GZMH,GZMK,GZMM,HOPX,ICOS,IFIT3,IFNG,IKZF2,IL18R1,IL2RA,IL2RB,IL32,IL4,IL7R,ITGAM,ITK,JUNB,KLRB1,LAG3,LAT,LCK,LDLRAP1,LEF1,LRRC32,LRRN3,LTB,MAFF,MAL,MBD2,MYB,MYC,MYO1G,NABP1,NELL2,NKG7,NOSIP,NOTCH3,PDCD1,PECAM1,PFN1P1,PTPN22,PTPRC,PTPRCAP,PXDC1,PYHIN1,RHOH,RORA,S100A4,S1PR4,SATB1,SELL,SEMA6D,SEPT1,SERINC5,SH2D1A,SKAP1,SLC2A1,SYT3,TBC1D10C,TCF7,TGIF1,THY1,TMEM204,TNFAIP3,TNFRSF4,TRABD2A,TRAC,TRAF1,TRBC2,TRDC,TXK"
Immune system	T cells	"ABLIM1,ACTN1,BATF3,BCL2,BRAF,C1orf162,C6orf48,CCL20,CCL3,CCL4,CCL4L2,CCL5,CCR10,CCR2,CCR4,CCR6,CCR7,CD101,CD160,CD163L1,CD2,CD247,CD27,CD28,CD3D,CD3E,CD3G,CD4,CD52,CD55,CD6,CD69,CD7,CD81,CD8A,CD8B,CERK,CLEC2D,CREM,CTLA4,CTSW,CXCL13,CXCR4,CXCR6,CYTL1,DKK3,DUSP2,EEF1B2P3,EIF3L,ENTPD1,FAM110A,FAM117B,FCGR3A,FCGR3B,FCRL3,FMNL1,FOXP3,GDPD3,GEM,GIMAP2,GIMAP5,GIMAP7,GPR183,GZMA,GZMB,GZMH,GZMK,GZMM,HOPX,ICOS,IFIT3,IFNG,IKZF2,IL18R1,IL2RA,IL2RB,IL32,IL4,IL7R,ITGAM,ITK,JUNB,KLRB1,LAG3,LAT,LCK,LDLRAP1,LEF1,LRRC32,LRRN3,LTB,MAFF,MAL,MBD2,MYB,MYC,MYO1G,NABP1,NELL2,NKG7,NOSIP,NOTCH3,PDCD1,PECAM1,PFN1P1,PTPN22,PTPRC,PTPRCAP,PXDC1,PYHIN1,RHOH,RORA,S100A4,S1PR4,SATB1,SELL,SEMA6D,SEPT1,SERINC5,SH2D1A,SKAP1,SLC2A1,SYT3,TBC1D10C,TCF7,TGIF1,THY1,TMEM204,TNFAIP3,TNFRSF4,TRABD2A,TRAC,TRAF1,TRBC2,TRDC,TXK"
Immune system	Cancer cells	"CD44,EPCAM,ERBB2,FOLH1,KRT18,PROM1"
Kidney	Cancer stem cells	EPCAM
Kidney	Immune cells	"CD19,CD3D,CD3E,CD40,CD52,CD68,CD79A,CD8A,CPNE5,CXCL8,FCGR3A,FCGR3B,FCRL5,HLA-DRA,IGHA1,IGHA2,IGHG1,IGHG2,IGHG3,IGHM,IGKC,IGKV1-12,IGLC2,IGLC3,IGLC7,IGLL5,IL32,IL7R,JCHAIN,KIT,KLRD1,MNDA,MS4A1,MZB1,PKHD1L1,PNOC,POU2AF1,PTGS2,SLC18A2,TNFRSF13C,TRAC,TRBC2"
Kidney	_-intercalated cells (Collecting duct system)	"AQP6,ATP6V1B1,ATP6V1G3,AVPR1A,CA2,DMRT2,FOXI1,FXYD2,NR1I4,OXGR1,P2RY14,RHCG,SLC4A1,TMEM213"
Kidney	_-intercalated cells (Collecting duct system)	"AP1S3,ATP6V1B1,ATP6V1G3,AVPR1A,CA2,FOXI1,FXYD2,INSRR,NR1I4,OXGR1,RHCG,SLC26A4,TMEM213"
Kidney	Loop of Henle cells	"AQP1,CALCRL,CDKN1C,CLCNKA,CLDN1,CLDN10,CRYAB,CYP4B1,DEFB1,DRAM1,GEM,IGF1,IRX1,IRX2,IRX3,LRRC66,MECOM,NEK6,POU3F3,PPP1R1B,RGS5,SLC12A1,SPP1,TBC1D4,UMOD"
Kidney	Mesangial cells	"ARID5B,CCR7,FN1,GATA3,ITGA8,LAMA4,LGALS1,PAWR,PDGFB,PDGFRB,REN,SERPINE2,TBX18,TEK,THY1,ZEB2"
Kidney	Podocytes	"ARHGAP24,CD2AP,CLIC5,COL4A3,COL4A4,EZR,MAFB,NOTCH2,NPHS1,NPHS2,PLA2R1,PODXL,RHPN1,SEMA3E,SEMA3G,SEMA5A,TDRD5,WT1"
Kidney	Principal cells (Collecting duct system)	"APELA,AQP2,AQP3,AVPR2,CLDN4,ELF5,FXYD4,GATA3,HSD11B2,KCNE1,KCNJ1,SCNN1G,STC1,TBX3"
Kidney	Inner Medullary cells (Collecting duct system)	"ALDH1A3,PLEKHB1,S100A4,SLC14A2,TM6SF1"
Kidney	Proximal tubule cells	"AGXT2,ATP1B1,CDKN3,CRYL1,CUBN,CYP2E1,FXYD2,GLYAT,GSTA2,HGD,HNF4A,LRP2,NAPSA,PDZK1,POU3F3,SLC17A3,SLC3A1,SLC7A13,SOD3,SORD,UPB1"
Kidney	Cap mesenchyme cells (Mesenchymal cells)	"CITED1,EYA1,ITGA8,MEIS2,MUC1,NOTCH2,NR2F2,SIX2"
Kidney	Endothelial cells	"ADGRL4,CD93,EMCN,ENG,KDR,MMRN1,NOTCH4,PECAM1,PLAC8,PLVAP,TEK,TGFBR2,VWF"
Kidney	Stromal cells	"COL1A2,COL3A1,COL6A3,LGALS1,MEIS1,TCF21,TNC"
Kidney	Juxtaglomerular cells	"CRIP1,REN"
Kidney	Renal interstitium (Mesenchymal cells)	"C7,MEIS1,MGP,PDGFRA,SFRP1"
Kidney	Connecting tubule cells	"ATP6V1B1,CALB1,FXYD2,SLC8A1,TRPV5"
Kidney	Distal tubule cells	"CDC42EP3,CLCNKB,CLDN3,CLDN8,EGF,EMX1,FXYD2,KCNJ1,KL,KLK1,PCOLCE,POU3F3,SLC12A3,SOSTDC1,TMEM213,TMEM52B,UMOD"
Kidney	Hematopoietic cells	"CORO1A,HLA-DPA1,LST1,MNDA,SRGN"
Kidney	Ureteric Bud Cells	"CLDN6,ETV4,GFRA1,LAMA1,NMU,RET,WNT11,WNT7B,WNT9B"
Kidney	Renal Vesicle cells	"BMP2,DKK1,DLL1,EMX2,GREB1,LHX1,NCAM1,PAPSS2,PCSK9,POU3F3,TMEM100,WT1"
Kidney	Cancer stem cells	EPCAM
