Tissue	Cell type	Marker genes
Bone	Osteoclasts	"ACP5,AGER,AQP9,CA2,CALCR,CASR,CCL3,CD40LG,CD68,CTSK,CX3CR1,DCSTAMP,EFNB2,EGFL7,EPHB1,ESR1,GRM8,HIF1A,IRAK3,ITGA2,ITGAV,ITGB1,ITGB3,ITGB5,ITPR3,KCNMA1,MMP9,NRP2,ONECUT1,P2RY6,PTH1R,PTPRA,RAB3B,RGS18,SEMA4D,SERPINF1,SLC2A1,SLC39A14,SNX10,SOST,THRA,TNFRSF11A,TNFRSF11B,VDR,ZBTB7A"
Bone	Osteocytes	"DMP1,FN1,MEPE,SOST"
Brain	Astrocytes	"ALDH1L1,AQP4,ATP13A4,C5AR1,CBS,CD40,CD80,CD86,GFAP,GLUL,IGFBP3,S100B,SLC1A2,SLC1A3,SOX9"
Brain	Cholinergic neurons	"ACHE,CHAT,SLC18A3"
Brain	Dopaminergic neurons	"DBH,FOXA2,KCNJ6,LMX1B,NR4A2,PPP1R1B,SLC6A2,SLC6A3,TH"
Brain	Endothelial cells	"A2M,APOLD1,CD34,CDH5,ENG,FLT1,MCAM,PECAM1,PTPRC,TM4SF1,VCAM1,VWF"
Brain	GABAergic neurons	"GABBR1,GABBR2,GAD1,GAD2,SLC32A1,SLC6A1"
Brain	Glutamatergic neurons	"GLS,GLUL,GRIN1,GRIN2A,GRIN2B,SLC17A6,SLC17A7"
Brain	Immature neurons	"DCX,NCAM1,NEUROD1,STMN1,TBR1,TUBB3"
Brain	Immune system cells	"CCR6,CD4,CXCR3,IL2RA,ISG20,MS4A1,TNFRSF8"
Brain	Mature neurons	"DLG4,GAP43,INA,MAP2,MAPT,NRP1,RBFOX3,SYP,TUBB3"
Brain	Microglial cells	"ADGRE1,ADORA3,ADRB2,AIF1,BHLHE41,BIN1,C1QA,CCL4,CD40,CD68,CX3CR1,ISYNA1,ITGAM,KLF2,NAV3,NOS2,P2RY12,PTPRC,RHOB,SALL1,SIGLEC8,SLC1A3,SPRY1,TAL1,TMEM119,TNF"
Brain	Myelinating Schwann cells	"EGR2,MBP,MPZ,SOX10"
Brain	Neural Progenitor cells	"ASCL1,CNTNAP1,CSPG4,EOMES,MSI1,MSI2,NES,OTX2,PAX3,PAX6,RNF5,SMARCA4,SOX1,SOX2"
Brain	Neural stem cells	"NES,PROM1,SOX2,SOX9"
Brain	Neuroblasts	"DCX,DLX2,EOMES,NEUROD1,PROX1,TUBB3"
Brain	Neuroepithelial cells	"CDH1,HES1,HES3,NES,NOTCH1,OCLN,SOX10,SOX2"
Brain	Non myelinating Schwann cells	"GAP43,NCAM1,NGFR,SOX10"
Brain	Oligodendrocyte precursor cells	"CSPG4,LHFPL3,MEGF11,PCDH15,PDGFRA,RNF5"
Brain	Oligodendrocytes	"CLDN11,CNP,FA2H,GALC,MAG,MBP,MOG,OLIG1,OLIG2,OLIG3,SOX10,UGT8"
Brain	Radial glial cells	"CDH2,FABP7,GFAP,HES1,HES5,NES,PAX6,SLC1A3,SOX2,TNC,VIM"
Brain	Schwann precursor cells	"DHH,FABP7,GAP43,MPZ,NGFR,SOX10"
Brain	Serotonergic neurons	"FEV,HTR1A,HTR1B,SLC6A4,TPH1"
Brain	Tanycytes	"COL23A1,GPR50"
Brain	Cancer cells	"CD44,MBTPS2,PARP1"
Brain	Cancer stem cells	"FUT4,MSI1,NES,PROM1,SOX2,THY1"
Breast	Epithelial cells	"CDH1,KRT14,KRT18,MUC1,SMN1,TP63"
Breast	Luminal epithelial cells	"AGR2,ANKRD30A,ANPEP,ANXA1,AQP3,AQP5,AR,AREG,ATP2C2,ATP7B,BTG1,CD74,CD9,CDH1,CEBPD,CLDN4,DDR1,ESR1,FGFR2,FGFR4,FGG,HIF1A,HMGA1,KLK3,KRT18,KRT19,KRT23,KRT8,LCN2,LTF,MUC1,PGR,PIP,PROM1,PTH1R,RUNX1,SAA2,SERPINA1,SERPINB3,SERPINB4,SLC12A2,SLPI,STC2,SYTL2,TNFSF10,UXT,WFDC2,WNT5A"
Breast	Mammary epithelial cells	"ABCG2,ALDH1A3,ANO1,BTN1A1,CDH1,CITED1,CLDN1,CLDN4,CSN1S1,CSN2,CSN3,FFAR1,FOXP4,IRF6,KDM3A,KRT14,KRT17,KRT18,KRT19,KRT5,KRT7,KRT8,LIF,LSR,MMP14,NEDD9,NNMT,PADI2,PIEZO1,PIP,PRLR,PYGO2,RARRES1,RUNX2,SERPINB5,SGMS2,SLC30A2,STAT3,SULT1E1,TOX3,WNT5B"
Breast	Myoepithelial cells	"SMN1,TP63"
Embryo	Cardiomyocytes	"SIRPA,VCAM1"
Embryo	Embryonic stem cells	"ABCG2,ANO6,BCL3,BNIP3,CD24,CD59,CD9,CDH1,CDK8,CTNNB1,DNMT3B,DPPA2,DPPA3,DPPA4,EPCAM,ESRRB,FBXO15,FUT4,FZD1,GAL,GDF3,GJB1,GJB4,GJC1,HES1,HHEX,HMGA2,HOXB5,IL6ST,ITGA4,ITGA6,ITGB1,KCNIP3,KIT,KITLG,KLF4,L1TD1,LEF1,LIFR,LMNA,MYC,NACC1,NANOG,NR6A1,PCGF2,PECAM1,PITX2,PIWIL1,PIWIL2,PIWIL4,PML,PODXL,POU5F1,PRDM5,PROM1,PUM2,SALL4,SLC46A2,SMAD1,SMAD2,SMAD3,SMAD4,SMAD5,SMAD9,SOX15,SOX2,STAT3,SUMO2,TAF8,TDGF1,TEX19,THY1,TRIM28,TRIM6,ZFP42,ZFX,ZIC1"
Embryo	Epiblast cells	"BCL11A,CDH1,CLDN6,CLDN7,CRMP1,CXCL12,DPYSL5,EPCAM,INA,LEF1,MFAP2,NANOG,POU5F1,SLC35D3,SOX11,TDGF1"
Embryo	Germ cells	"DAZL,POU5F1"
Embryo	Hemangioblasts	"ETV2,TAL1"
Embryo	Mesenchymal stem cell	"ENG,NT5E,THY1"
Embryo	Neurons	"ARX,IGFBPL1,MAF,NEUROD1,NEUROD6,PLS3"
Embryo	Trophoblast cells	"ACKR2,ADAM19,ASCL2,CD4,CDX2,DLX3,ELF5,HAND1,HLA-G,HOPX,IGF2,INHBA,KRT7,LIF,MLANA,PARP1,PERP,PHLDA2,PTHLH,S100P,SERPINE1,SIRT1,STAR,TFEB,TNFRSF9,TTPA"
Embryo	Trophoblast progenitor cells	"FOXO4,ISG20,TFAP2C"
Eye	Muller cells	"ALDH1A1,APOE,AQP4,CA8,EDN2,GLUL,KCNJ2,PAX6,PRSS56,RGR,RLBP1,VIM"
Eye	Astrocytes	"GFAP,PAX2,PRDX6,RLBP1,S100B,SLC1A3"
Eye	Retinal ganglion cells	"BMP4,CERKL,GRIA4,GRM3,KCNJ2,MED1,NEFL,NMT1,NRN1,PAX6,POU4F2,POU6F2,SLC17A6,SNCG,THY1,ZIC2"
Eye	Retinal progenitor cells	"CALB2,HES1,KIT,LGR5,MSI1,NEFH,NOTCH1,SEBOX,PAX6,PDGFRA,RAX,RHO,SAG,SFRP2,SIX3,SIX6,SOX9"
Eye	Rod bipolar cells	"CABP5,CASP7,GABRA1,GRM3,KCNA4,KCNMA1,LHX4,SEBOX,OTX2,PCP4,PRKCA,RCVRN,RORB,RPA1,SLC1A2,VSTM2B,VSX2"
Eye	Cone bipolar cells	"CABP5,GABRA1,GJD2,GNAS,GNB3,GRIA4,ISL1,LHX3,LHX4,LRIT2,MIP,OTX2,PCP4,RCVRN,SCGN,SLC1A2,SLC1A7,TJP2,VSX1,VSX2"
Eye	GABAergic amacrine cells	"C1QL2,CALB2,FRMPD2,FUT4,GAD1,GAD2,GJD2,GNAS,GRM3,ISL1,KCNA4,KCNMA1,MIP,NEUROG2,NR4A2,PAX6,PCP4,POU6F2,PROX1,PVALB,RELN,SEMA3D,STX1A,TFAP2A,THY1,TJP2,VIP,ZEB2"
Eye	Rod photoreceptor cells	"ARR3,CABP4,CACNA1D,CERKL,CRX,DYNLRB2,EDN2,FRMPD2,GUCA1B,GJD2,KCNA4,KCNQ5,LRIT1,LRIT2,MAF,MED1,NRL,PDC,RHO,ROM1,RORB,RP1L1,SAMD11,SAMD7,TSPAN10,TTC8"
Eye	Cone photoreceptor cells	"ARR3,CABP4,CACNA1D,CRX,EDN2,GJD2,GNB3,KCNQ5,LRIT1,MED1,NRL,OPN1LW,OPN1MW,OPN1SW,ROM1,RP1L1,THRB,TSPAN10,TTC8"
Eye	Microglial cells	"ADGRE1,ADORA3,ADRB2,AIF1,BHLHE41,BIN1,C1QA,CCL4,CD40,CD68,CX3CL1,CX3CR1,ISYNA1,ITGAM,KLF2,NAV3,NOS2,P2RY12,PTPRC,RHOB,SALL1,SIGLEC8,SLC1A3,SPRY1,TAL1,TMEM119,TNF"
Eye	Horizontal cells	"CALB1,CALB2,DLG2,LHX1,LHX1,MIP,LIM2,NTRK1,PROX1,RCVRN,TFAP2B,ZEB2"
Eye	Synapses	"DLG4,HOMER1,SLC32A1,SYP"
Eye	Retinal pigment epithelial cells	"ANO2,BEST1,BMP2,BMP4,CERKL,CLU,EFEMP1,EZR,IL4,KCNJ5,MED1,RDH5,RGR,RPE65,SBSPON,TGFBR1,TMEM98,TRAF1,TTC8"
Eye	Cornea epithelial cells	"KLF6,KRT3"
Eye	Immune cells	"C1QA,IL2RA,ISG20,CD4,CD69,FCER1G,ITGAM"
Eye	Fibroblasts	"ACTA2,COL1A1,CRHBP,FBLN1,FN1,ICAM1,PAX6,PDGFRA,TGFB1"
Eye	Endothelial cells	"BMP2,BMP4,CD34,CD55,CD93,CDH5,CLDN5,FLT1,GNG11,ICAM1,MED1,PECAM1,TGFBR1,TMEM98,TNFSF12,VWF"
Eye	Pericytes	"ABCC9,DLK1,KCNJ8,RGS5,VCAM1"
Eye	Extracellular matrix cells	"ANTXR2,COL10A1,EFEMP1,LAMA2,SNTB1,TCF7L2,TGFBR1,TMEM98,VIPR2,ZIC2"
Eye	Glycinergic amacrine cells	"CALB2,CAMKV,DAB1,EFNA5,FRMPD2,FUT4,GJD2,MGAT1,SLC6A9,GNAS,GRM3,KCNA4,KCNMA1,MIP,PAX6,PCP4,POU6F2,PROX1,PVALB,SEMA3D,SLC6A9,STX1A,TCF4,TFAP2A,TGFB2,THY1,TJP2,VIP,ZEB2"
Eye	Cholinergic GABAergic amacrine cells	"C1QL2,CALB2,CPNE4,FRMPD2,FUT4,GAD1,GAD2,GJD2,GNAS,GRM3,ISL1,KCNA4,KCNMA1,MIP,NEUROG2,NR4A2,PAX6,PCP4,POU6F2,PROX1,PVALB,RELN,SCGN,SCUBE2,SEMA3D,SOX2,STX1A,TAC1,TFAP2A,THY1,TJP2,SLC18A3,VIP,ZEB2"
Eye	Tachykinin GABAergic amacrine cells	"C1QL2,CALB2,CDH4,FRMPD2,FUT4,GAD1,GAD2,GJD2,GNAS,GRIK4,GRM3,GRM8,ISL1,KCNA4,KCNMA1,MIP,NEUROG2,NR4A2,PAX6,PCP4,POU6F2,PROX1,PVALB,RELN,SCGN,SEMA3D,SLIT2,STX1A,TFAP2A,THY1,TJP2,VIP,ZEB2"
Eye	Starburst amacrine cells	"CALB2,CHAT,FRMPD2,FUT4,GAD1,GJD2,GNAS,GRM3,KCNA4,KCNMA1,MIP,PAX6,PCP4,POU6F2,PROX1,PVALB,SEMA3D,SLC5A7,STX1A,TFAP2A,THY1,TJP2,VIP,ZEB2"
Eye	Cancer cells	EPCAM
Gastrointestinal tract	Crypt cells	"ASCL2,AXIN2,BMI1,EPHB2,HOPX,KCNE3,KCNQ1,LGR5,LRIG1,MSI1,OLFM4,PROM1,SLC12A2,SMOC2,TNFRSF19"
Gastrointestinal tract	Enteric glia cells	"ALDH1A1,ALDH1A3,CXCL14,DHRS3,DKK3,GFAP,GFRA3,INTS6,L1CAM,LGI4,MPZ,NOS2,RGS16,S100B,SLC18A2,SOX10"
Gastrointestinal tract	Enteric neurons	"AHDC1,ARHGAP26,ARHGEF28,ASTN1,ATF5,CACNA1B,CACNA1E,CARTPT,CASZ1,CCK,CELF6,CHRNA3,CYB561,CYTH3,DMKN,EFNA5,EML5,FBXO7,FILIP1,FLOT2,FSTL5,GAL,GCNT2,GFRA2,GOLGA7B,GPR22,HAND2,HIVEP3,HOXA5,HOXB4,HOXB5,IGF2BP3,JPH3,LIX1,MAP6,MFSD6,MYL1,NMU,PARVA,PHOX2B,PIK3CA,PIRT,PLCE1,PLEKHA5,PPP2R5B,RET,RGMB,RGS3,SCN3A,SCN7A,SLC10A4,SLC18A3,SLC5A7,SLC7A14,SNX21,STXBP5,TAC1,TAFA1,TAFA5,TLX2,TM4SF4,TOX,TSHZ1,TTBK2,TUB,VEZT,VIP,VSTM2L,ZDHHC2"
Gastrointestinal tract	Enterochromaffin cells	"ADM,AFP,CRH,FGF1,GJB1,LMX1A,PIEZO2,REG4,SLC18A1,TPH1,TRPA1"
Gastrointestinal tract	Enterocytes	"ABCC2,ABCG2,ABCG5,ABCG8,ABHD11,ACSL5,ALDOB,ALPI,ANPEP,APOA1,APOA4,APOB,APOBEC1,APOC3,AQP1,AQP11,AQP7,AQP8,ART3,ASCL2,ASPN,CA1,CASP6,CBR1,CCL25,CD36,CD55,CDC42EP5,CDH17,CDH19,CDO1,CDX1,CDX2,CEACAM1,CLDN15,COL18A1,COL20A1,CPS1,CREB3L3,CTRB1,CYBRD1,DAB1,DEGS2,DGAT1,DGAT2,DMBT1,DPP4,EHF,ELF3,EPHX2,FABP1,FABP2,FABP6,FAHD1,FBP2,FERMT1,FLOT2,FUOM,G0S2,GATA4,GFRA2,GLS,GSTA1,GSTM3,GULP1,HMOX1,HNF4A,ISX,KHK,KLF5,KRT20,KRTCAP3,L1CAM,LCT,LGALS2,LYPD8,MAOA,MEP1A,MOGAT2,MTTP,MUC13,MYO1A,NKD2,NLRP6,NPC1L1,NR1H4,NR5A2,OTC,PDHA1,PDZK1,PHGR1,PLIN2,PLIN3,PMEPA1,PPARG,PPP1R14D,PRAP1,PRR15L,PRSS2,RBP2,REG3A,RGMB,RNF186,S100G,SDSL,SLC10A2,SLC11A2,SLC15A1,SLC23A1,SLC26A2,SLC26A3,SLC28A1,SLC28A2,SLC2A2,SLC2A5,SLC30A10,SLC35F1,SLC39A5,SLC40A1,SLC51A,SLC51B,SLC5A1,SMOC2,SOX10,SPON2,TM4SF5,TM6SF2,TMC4,TMEM45B,TREH,TRPM6,VDR,VIL1,VNN1"
